CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1985-0093,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,02/11/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,46500000,0,46500000,,Certificates of participation/leases,"Water Supply, Storage, Distribution",Tax increment,,9.32,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,3.1,1440500,,,,1116000,,,,,,,,,,
1985-1572,Fairfield Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/03/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,City Center,3000000,3000000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,9.79,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Dean Witter Reynolds Inc,,,,Stone & Youngberg,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1998-0480,Fairfield Public Financing Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,04/23/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Mun Park ID No 1 & Lynch Canyon,18575000,0,18575000,,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,,5.106,NIC,,,,07/01/2023 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,0.74,136601,,,,143956,,,,,,,,,,
2009-0001,Vacaville Unified School District,2009-0001.pdf (http://cdiacdocs.sto.ca.gov/2009-0001.pdf),SOLD,11/19/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Central Office,4392173,4392173,0,,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,7.227,,TIC,,,12/01/2018 12:00:00 AM,12/01/2032 12:00:00 AM,YES,S:AAA/A,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,Unknown,Citigroup Global Markets Inc,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,The Bank of New York Mellon Trust Company NA,,,,,,295879,,,,,,,,,,
1994-1298,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/08/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Solano Pk,9350000,9350000,0,,Certificates of participation/leases,Hospital,Other sources,,6.029,NIC,,,,08/01/2014 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,Wendel Rosen Black & Dean,,,,First Interstate Bank of California,1.61,150646,,,,0,,,,,,,,,,
1996-0441,Vacaville Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/05/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.893,NIC,,,,07/01/1997 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,A H Williams & Company,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,Solano County,0.33,16600,,,,0,,,,,,,,,,
1986-0126,Fairfield-Suisun Sewer District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/31/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Sewer District,,23424762,18260450,5164312,,Public enterprise revenue bond,"Wastewater Collection, Treatment",Public enterprise revenues,8.037,,TIC,,,,05/01/2016 12:00:00 AM,N/A,S:AAA,M:AAA,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,491920,,,,,,,,,,
1997-0135,Dixon Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/06/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,7000000,1638700,5361300,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,4.905,NIC,,,,03/01/2012 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,BancAmerica Securities Inc,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,Norwest Bank Minnesota NA,1.93,135127,,,,27090,,,,,,,,,,
1994-0730,Fairfield Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/08/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Elem Sch/Senior Ctr,5365000,0,5365000,,Public lease revenue bond,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,5.446,NIC,,,,08/01/2009 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,Bank of America NT & SA,2.1,112436,,,,60742,,,,,,,,,,
1994-1265,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/07/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-2005,Cities,City Government,NEQ Neighborhood F AD No 68,750000,750000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,7.098,,TIC,,Subject to Alternative Minimum Tax,,09/02/2014 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,M L Stern & Company,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,Union Bank Los Angeles,2.34,17566,,,,0,,,,,,,,,,
