country,year,sex,age,suicides,population, gdp,generation
Albania,1987,male,15-24 years,21,312900,"2,156,624,900",Generation X
Albania,1987,male,35-54 years,16,308000,"2,156,624,900",Silent
Albania,1987,female,15-24 years,14,289700,"2,156,624,900",Generation X
Albania,1987,male,75+ years,1,21800,"2,156,624,900",G.I. Generation
Albania,1987,male,25-34 years,9,274300,"2,156,624,900",Boomers
Albania,1987,female,75+ years,1,35600,"2,156,624,900",G.I. Generation
Albania,1987,female,35-54 years,6,278800,"2,156,624,900",Silent
Albania,1987,female,25-34 years,4,257200,"2,156,624,900",Boomers
Albania,1987,male,55-74 years,1,137500,"2,156,624,900",G.I. Generation
Albania,1987,female,5-14 years,0,311000,"2,156,624,900",Generation X
Albania,1987,female,55-74 years,0,144600,"2,156,624,900",G.I. Generation
Albania,1987,male,5-14 years,0,338200,"2,156,624,900",Generation X
Albania,1988,female,75+ years,2,36400,"2,126,000,000",G.I. Generation
Albania,1988,male,15-24 years,17,319200,"2,126,000,000",Generation X
Albania,1988,male,75+ years,1,22300,"2,126,000,000",G.I. Generation
Albania,1988,male,35-54 years,14,314100,"2,126,000,000",Silent
Albania,1988,male,55-74 years,4,140200,"2,126,000,000",G.I. Generation
Albania,1988,female,15-24 years,8,295600,"2,126,000,000",Generation X
Albania,1988,female,55-74 years,3,147500,"2,126,000,000",G.I. Generation
Albania,1988,female,25-34 years,5,262400,"2,126,000,000",Boomers
Albania,1988,male,25-34 years,5,279900,"2,126,000,000",Boomers
Albania,1988,female,35-54 years,4,284500,"2,126,000,000",Silent
Albania,1988,female,5-14 years,0,317200,"2,126,000,000",Generation X
Albania,1988,male,5-14 years,0,345000,"2,126,000,000",Generation X
Albania,1989,male,75+ years,2,22500,"2,335,124,988",G.I. Generation
Albania,1989,male,25-34 years,18,283600,"2,335,124,988",Boomers
Albania,1989,male,35-54 years,15,318400,"2,335,124,988",Silent
Albania,1989,male,55-74 years,6,142100,"2,335,124,988",G.I. Generation
Albania,1989,male,15-24 years,12,323500,"2,335,124,988",Generation X
Albania,1989,female,35-54 years,7,288600,"2,335,124,988",Silent
Albania,1989,female,15-24 years,5,299900,"2,335,124,988",Generation X
Albania,1989,female,25-34 years,2,266300,"2,335,124,988",Boomers
Albania,1989,female,55-74 years,1,149600,"2,335,124,988",G.I. Generation
Albania,1989,female,5-14 years,0,321900,"2,335,124,988",Generation X
Albania,1989,female,75+ years,0,37000,"2,335,124,988",G.I. Generation
Albania,1989,male,5-14 years,0,349700,"2,335,124,988",Generation X
Albania,1992,male,35-54 years,12,343800,"709,452,584",Boomers
Albania,1992,male,15-24 years,9,263700,"709,452,584",Generation X
Albania,1992,male,55-74 years,5,159500,"709,452,584",Silent
Albania,1992,male,25-34 years,7,245500,"709,452,584",Boomers
Albania,1992,female,15-24 years,7,292400,"709,452,584",Generation X
Albania,1992,female,25-34 years,4,267400,"709,452,584",Boomers
Albania,1992,female,35-54 years,2,323100,"709,452,584",Boomers
Albania,1992,female,55-74 years,1,164900,"709,452,584",Silent
Albania,1992,female,5-14 years,0,336700,"709,452,584",Millenials
Albania,1992,female,75+ years,0,38700,"709,452,584",G.I. Generation
Albania,1992,male,5-14 years,0,362900,"709,452,584",Millenials
Albania,1992,male,75+ years,0,23900,"709,452,584",G.I. Generation
Albania,1993,male,15-24 years,18,243300,"1,228,071,038",Generation X
Albania,1993,male,55-74 years,7,165000,"1,228,071,038",Silent
Albania,1993,male,75+ years,1,24200,"1,228,071,038",G.I. Generation
Albania,1993,male,25-34 years,9,230100,"1,228,071,038",Boomers
Albania,1993,female,15-24 years,10,285300,"1,228,071,038",Generation X
Albania,1993,male,35-54 years,10,350300,"1,228,071,038",Boomers
Albania,1993,female,25-34 years,7,261800,"1,228,071,038",Boomers
Albania,1993,female,35-54 years,7,331200,"1,228,071,038",Boomers
Albania,1993,female,55-74 years,2,169500,"1,228,071,038",Silent
Albania,1993,female,5-14 years,1,340300,"1,228,071,038",Millenials
Albania,1993,male,5-14 years,1,367000,"1,228,071,038",Millenials
Albania,1993,female,75+ years,0,39300,"1,228,071,038",G.I. Generation
Albania,1994,male,75+ years,2,24600,"1,985,673,798",G.I. Generation
Albania,1994,male,55-74 years,11,171400,"1,985,673,798",Silent
Albania,1994,female,75+ years,2,39900,"1,985,673,798",G.I. Generation
Albania,1994,male,25-34 years,6,231400,"1,985,673,798",Boomers
Albania,1994,male,35-54 years,9,362800,"1,985,673,798",Boomers
Albania,1994,male,15-24 years,6,242200,"1,985,673,798",Generation X
Albania,1994,female,15-24 years,6,282600,"1,985,673,798",Generation X
Albania,1994,female,25-34 years,4,261100,"1,985,673,798",Boomers
Albania,1994,female,35-54 years,2,342500,"1,985,673,798",Boomers
Albania,1994,female,55-74 years,1,174600,"1,985,673,798",Silent
Albania,1994,male,5-14 years,1,371800,"1,985,673,798",Millenials
Albania,1994,female,5-14 years,0,344400,"1,985,673,798",Millenials
Albania,1995,male,25-34 years,13,232900,"2,424,499,009",Generation X
Albania,1995,male,55-74 years,9,178000,"2,424,499,009",Silent
Albania,1995,female,75+ years,2,40800,"2,424,499,009",G.I. Generation
Albania,1995,female,15-24 years,13,283500,"2,424,499,009",Generation X
Albania,1995,male,15-24 years,11,241200,"2,424,499,009",Generation X
Albania,1995,male,75+ years,1,25100,"2,424,499,009",G.I. Generation
Albania,1995,male,35-54 years,14,375900,"2,424,499,009",Boomers
Albania,1995,female,25-34 years,7,264000,"2,424,499,009",Generation X
Albania,1995,female,35-54 years,8,356400,"2,424,499,009",Boomers
Albania,1995,male,5-14 years,6,376500,"2,424,499,009",Millenials
Albania,1995,female,55-74 years,2,180400,"2,424,499,009",Silent
Albania,1995,female,5-14 years,2,348700,"2,424,499,009",Millenials
Albania,1996,male,75+ years,2,25400,"3,314,898,292",G.I. Generation
Albania,1996,male,15-24 years,17,243600,"3,314,898,292",Generation X
Albania,1996,male,25-34 years,14,235300,"3,314,898,292",Generation X
Albania,1996,female,15-24 years,16,287700,"3,314,898,292",Generation X
Albania,1996,female,75+ years,2,41200,"3,314,898,292",G.I. Generation
Albania,1996,female,25-34 years,10,267900,"3,314,898,292",Generation X
Albania,1996,male,35-54 years,12,379600,"3,314,898,292",Boomers
Albania,1996,female,35-54 years,9,362000,"3,314,898,292",Boomers
Albania,1996,male,55-74 years,3,179900,"3,314,898,292",Silent
Albania,1996,female,55-74 years,1,183100,"3,314,898,292",Silent
Albania,1996,male,5-14 years,2,380400,"3,314,898,292",Millenials
Albania,1996,female,5-14 years,1,354100,"3,314,898,292",Millenials
Albania,1997,male,25-34 years,36,236000,"2,359,903,108",Generation X
Albania,1997,male,15-24 years,33,244400,"2,359,903,108",Generation X
Albania,1997,male,75+ years,3,25400,"2,359,903,108",G.I. Generation
Albania,1997,male,35-54 years,30,380800,"2,359,903,108",Boomers
Albania,1997,female,15-24 years,21,294000,"2,359,903,108",Generation X
Albania,1997,male,55-74 years,12,180300,"2,359,903,108",Silent
Albania,1997,female,25-34 years,16,273900,"2,359,903,108",Generation X
Albania,1997,female,75+ years,2,42100,"2,359,903,108",G.I. Generation
Albania,1997,female,35-54 years,7,370100,"2,359,903,108",Boomers
Albania,1997,female,5-14 years,6,361800,"2,359,903,108",Millenials
Albania,1997,male,5-14 years,4,381500,"2,359,903,108",Millenials
Albania,1997,female,55-74 years,0,187000,"2,359,903,108",Silent
