Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1942,511,,499,3705,4149,2358,349,70,2,503,946,,1666,15854,3043,7519,11115,771,523,584,207,409,8106,10398,1792,10740,2175,8307,163,546,1143,225,8339,603,4066,4021,5100,2332,5263,54,2057,4919,328,7360,303,398,323,1906,326,8508,531
1952,548,49.0,367,1089,3764,1953,363,108,2,617,976,15.0,938,7723,3050,5857,6933,796,489,664,328,584,6766,9026,693,7002,1598,7981,243,551,1151,289,5483,608,3968,3936,2771,1723,5156,89,413,4917,435,3963,385,414,366,1539,350,7258,519
1957,617,42.0,367,1127,3879,1666,384,132,2,672,1121,22.0,843,6510,2989,4906,6214,822,584,645,328,573,5160,6298,672,5307,1503,6658,110,545,1217,317,4189,624,3968,3667,2332,1526,5073,91,503,4808,560,3485,398,409,367,1577,362,5731,489
1962,733,57.0,379,1209,4023,1194,399,208,2,765,1219,21.0,835,6453,3092,2643,5411,873,629,659,352,587,3817,5213,773,3727,1388,5125,137,551,1396,306,3803,676,3029,3359,1960,1470,6202,98,553,4464,658,3328,424,425,381,1647,390,3727,465
1967,797,62.0,395,1253,3865,1253,414,171,2,828,1204,20.0,872,6454,2670,1803,3669,953,734,699,362,655,2904,4185,784,2918,1104,4392,147,516,1422,308,3486,753,2758,3284,1774,1457,4999,110,562,3511,792,3447,446,657,374,1653,456,2491,473
1972,876,121.0,407,1284,3820,1320,429,159,3,866,1244,20.0,902,6386,2793,1819,3716,1136,835,715,404,683,2650,3396,797,2808,993,3562,185,500,1457,310,3307,803,2727,3260,1684,1447,4936,116,584,1771,882,3625,460,659,386,1683,509,2449,384
1977,950,151.0,421,1347,3807,1460,435,211,2,912,1264,20.0,973,6621,2855,1853,3726,1184,459,780,427,767,2634,3438,836,2938,959,3486,183,507,1518,314,3310,875,2708,3286,1676,1448,5247,121,586,1728,906,3884,493,648,390,1667,596,2519,386
1982,1019,157.0,453,1425,4103,1545,480,218,2,970,1269,19.0,1019,6468,2866,1872,3796,1242,469,807,440,799,2644,3530,859,3118,1030,3325,185,518,1592,320,3250,906,2796,3394,1703,1455,5199,123,646,1768,914,4181,505,665,408,1735,634,2593,396
1987,1054,173.0,577,1397,4332,1594,478,282,2,966,1287,19.0,1066,6628,2807,1878,3804,1304,453,801,402,837,2700,3556,854,3148,1244,3153,198,525,1626,332,3303,917,2788,3378,1803,1503,4957,126,708,1763,905,4416,531,674,431,1780,631,2720,425
1992,1122,175.0,591,1447,4393,1761,564,276,2,1014,1298,21.0,1087,6723,2899,1881,3892,1321,459,797,402,844,2722,3580,870,3310,1276,2924,208,528,1513,342,3299,938,2765,3524,1795,1451,5159,126,698,1786,924,4792,627,682,455,1761,692,2739,550
1997,1132,176.0,638,1517,4608,1870,584,337,2,1082,1345,20.0,1148,6836,3199,1877,3951,1367,468,833,421,862,2776,3502,937,3417,1145,2895,206,576,1422,882,3414,953,2759,3598,1800,1494,5071,120,717,1811,941,4701,684,692,484,1813,705,3060,655
2002,1172,176.0,639,1589,4410,1929,581,340,2,1192,1449,20.0,1159,6904,3086,1976,3888,1440,474,827,266,842,2805,3483,1001,3423,1128,2792,211,560,1413,859,3421,961,2736,3637,1799,1440,5032,119,702,1867,931,4785,606,734,522,1788,687,3049,723
2007,1186,178.0,646,1549,4345,2417,650,339,2,1624,1440,20.0,1241,6995,3232,1955,3932,1347,527,851,257,862,2894,3527,1001,3724,1274,2660,199,546,1384,864,3404,964,2700,3703,1881,1547,4872,135,699,1984,929,4836,600,734,512,1846,664,3121,727
2012,1209,178.0,675,1557,4426,2906,644,340,2,1651,1379,22.0,1169,6964,2710,1948,3827,1339,530,841,348,858,2876,3673,984,3769,1266,2582,192,542,1345,864,3454,974,2686,3843,1853,1543,4898,134,679,1984,917,5148,623,739,519,1901,660,3129,806
2017,1196,180.0,659,1542,4445,3142,626,335,2,1713,1381,22.0,1171,6919,2639,1942,3793,1323,517,835,345,859,2864,3644,970,3769,1227,2539,190,542,1339,1014,3451,971,2665,3898,1831,1511,4831,130,672,1917,907,5344,620,730,518,1901,652,3097,795
